#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A962CC
#Date Time: 2020-01-30 19:07:46.865

Time (s),Voltage (V)
-0.0455625,-91.83541206138182
-0.04555,-92.34482493949227
-0.0455375,-92.98159103713037
-0.045525,-93.61835713476846
-0.0455125,-94.19144662264273
-0.0455,-94.76453611051701
-0.0454875,-95.33762559839128
-0.045475,-95.91071508626557
-0.0454625,-96.54748118390364
-0.04545,-97.12057067177791
-0.0454375,-97.757336769416
-0.045425,-98.4577794768179
-0.0454125,-99.2218987939836
-0.0454,-99.8586648916217
-0.0453875,-100.5591075990236
-0.045375,-101.2595503064255
-0.0453625,-101.8963164040636
-0.04535,-102.4694058919379
-0.0453375,-103.0424953798121
-0.045325,-103.6155848676864
-0.0453125,-104.1249977457969
-0.0453,-104.6980872336711
-0.0452875,-105.3985299410731
-0.045275,-106.0352960387111
-0.0452625,-106.7994153558768
-0.04525,-107.4361814535149
-0.0452375,-108.2003007706806
-0.045225,-108.8370668683187
-0.0452125,-109.5375095757206
-0.0452,-110.0469224538311
-0.0451875,-110.6200119417054
-0.045175,-111.065748210052
-0.0451625,-111.5751610881625
-0.04515,-112.084573966273
-0.0451375,-112.5939868443834
-0.045125,-113.1033997224939
-0.0451125,-113.740165820132
-0.0451,-114.3132553080062
-0.0450875,-115.0136980154082
-0.045075,-115.5867875032824
-0.0450625,-116.1598769911567
-0.04505,-116.5419366497396
-0.0450375,-117.05134952785
-0.045025,-117.4334091864329
-0.0450125,-117.9428220645433
-0.045,-118.38855833289
-0.0449875,-118.8979712110005
-0.044975,-119.5347373086386
-0.0449625,-120.1078267965128
-0.04495,-120.6172396746233
-0.0449375,-121.06297594297
-0.044925,-121.4450356015528
-0.0449125,-121.8270952601357
-0.0449,-122.1454783089547
-0.0448875,-122.5275379675376
-0.044875,-122.9095976261204
-0.0448625,-123.3553338944671
-0.04485,-123.8647467725775
-0.0448375,-124.3104830409242
-0.044825,-124.5651894799795
-0.0448125,-124.7562193092709
-0.0448,-124.9472491385623
-0.0447875,-125.1382789678537
-0.044775,-125.2656321873814
-0.0447625,-125.5840152362004
-0.04475,-125.711368455728
-0.0447375,-126.0297515045471
-0.044725,-126.4118111631299
-0.0447125,-126.7938708217127
-0.0447,-127.1122538705318
-0.0446875,-127.4306369193508
-0.044675,-127.8126965779337
-0.0446625,-128.2584328462804
-0.04465,-128.6404925048632
-0.0446375,-129.0225521634461
-0.044625,-129.4682884317927
-0.0446125,-129.9777013099032
-0.0446,-130.4234375782499
-0.0445875,-130.9965270661241
-0.044575,-131.3149101149432
-0.0445625,-131.7606463832898
-0.04455,-132.2063826516365
-0.0445375,-132.6521189199831
-0.044525,-133.034178578566
-0.0445125,-133.4162382371488
-0.0445,-133.7982978957317
-0.0444875,-134.3077107738422
-0.044475,-134.689770432425
-0.0444625,-135.1355067007717
-0.04445,-135.5812429691183
-0.0444375,-136.026979237465
-0.044425,-136.5363921155755
-0.0444125,-136.9821283839221
-0.0444,-137.4915412620326
-0.0443875,-138.0009541401431
-0.044375,-138.5103670182535
-0.0443625,-138.9561032866002
-0.04435,-139.3381629451831
-0.0443375,-139.7838992135297
-0.044325,-140.2296354818764
-0.0443125,-140.675371750223
-0.0443,-141.0574314088059
-0.0442875,-141.5031676771525
-0.044275,-141.9489039454992
-0.0442625,-142.4583168236097
-0.04425,-142.9040530919563
-0.0442375,-143.349789360303
-0.044225,-143.8592022384134
-0.0442125,-144.3686151165239
-0.0442,-144.7506747751068
-0.0441875,-145.1327344336896
-0.044175,-145.5784707020363
-0.0441625,-146.024206970383
-0.04415,-146.342590019202
-0.0441375,-146.660973068021
-0.044125,-147.0430327266039
-0.0441125,-147.4250923851868
-0.0441,-147.8071520437696
-0.0440875,-148.1255350925886
-0.044075,-148.4439181414077
-0.0440625,-148.8259777999905
-0.04405,-149.2080374585734
-0.0440375,-149.5264205073925
-0.044025,-149.7811269464477
-0.0440125,-150.2905398245581
-0.044,-150.672599483141
-0.0439875,-150.99098253196
-0.043975,-151.3730421905429
-0.0439625,-151.6914252393619
-0.04395,-152.0734848979448
-0.0439375,-152.4555445565276
-0.043925,-152.7102509955829
-0.0439125,-152.8376042151105
-0.0439,-153.0923106541657
-0.0438875,-153.4106937029848
-0.043875,-153.7290767518038
-0.0438625,-153.9201065810952
