v1	V(n002)*I(V1)	I(V1)
2.079999999999993e-002	1.580634e-002	7.599204e-001
2.089999999999993e-002	1.588230e-002	7.599185e-001
2.099999999999993e-002	1.595825e-002	7.599165e-001
2.109999999999993e-002	1.603420e-002	7.599146e-001
2.119999999999993e-002	1.611015e-002	7.599127e-001
2.129999999999993e-002	1.618610e-002	7.599108e-001
2.139999999999993e-002	1.626205e-002	7.599089e-001
2.149999999999993e-002	1.633800e-002	7.599070e-001
2.159999999999993e-002	1.641395e-002	7.599051e-001
2.169999999999992e-002	1.648990e-002	7.599032e-001
2.179999999999992e-002	1.656585e-002	7.599013e-001
2.189999999999992e-002	1.664180e-002	7.598994e-001
2.199999999999992e-002	1.671774e-002	7.598975e-001
2.209999999999992e-002	1.679369e-002	7.598956e-001
2.219999999999992e-002	1.686964e-002	7.598937e-001
2.229999999999992e-002	1.694559e-002	7.598918e-001
2.239999999999992e-002	1.702153e-002	7.598899e-001
2.249999999999992e-002	1.709748e-002	7.598880e-001
2.259999999999992e-002	1.717343e-002	7.598861e-001
2.269999999999992e-002	1.724937e-002	7.598842e-001
2.279999999999992e-002	1.732532e-002	7.598823e-001
2.289999999999992e-002	1.740126e-002	7.598804e-001
2.299999999999992e-002	1.747720e-002	7.598785e-001
2.309999999999992e-002	1.755315e-002	7.598765e-001
2.319999999999992e-002	1.762909e-002	7.598746e-001
2.329999999999992e-002	1.770503e-002	7.598727e-001
2.339999999999991e-002	1.778098e-002	7.598708e-001
2.349999999999991e-002	1.785692e-002	7.598689e-001
2.359999999999991e-002	1.793286e-002	7.598670e-001
2.369999999999991e-002	1.800880e-002	7.598651e-001
2.379999999999991e-002	1.808474e-002	7.598632e-001
2.389999999999991e-002	1.816069e-002	7.598613e-001
2.399999999999991e-002	1.823663e-002	7.598594e-001
2.409999999999991e-002	1.831257e-002	7.598575e-001
2.419999999999991e-002	1.838850e-002	7.598556e-001
2.429999999999991e-002	1.846444e-002	7.598537e-001
2.439999999999991e-002	1.854038e-002	7.598518e-001
2.449999999999991e-002	1.861632e-002	7.598498e-001
2.459999999999991e-002	1.869226e-002	7.598479e-001
2.469999999999991e-002	1.876820e-002	7.598460e-001
2.479999999999991e-002	1.884413e-002	7.598441e-001
2.489999999999991e-002	1.892007e-002	7.598422e-001
2.499999999999990e-002	1.899601e-002	7.598403e-001
2.509999999999990e-002	1.907194e-002	7.598384e-001
2.519999999999990e-002	1.914788e-002	7.598365e-001
2.529999999999990e-002	1.922381e-002	7.598346e-001
2.539999999999990e-002	1.929975e-002	7.598327e-001
2.549999999999990e-002	1.937568e-002	7.598308e-001
2.559999999999990e-002	1.945162e-002	7.598289e-001
2.569999999999990e-002	1.952755e-002	7.598270e-001
2.579999999999990e-002	1.960349e-002	7.598251e-001
2.589999999999990e-002	1.967942e-002	7.598231e-001
2.599999999999990e-002	1.975535e-002	7.598212e-001
2.609999999999990e-002	1.983128e-002	7.598193e-001
2.619999999999990e-002	1.990722e-002	7.598174e-001
2.629999999999990e-002	1.998315e-002	7.598155e-001
2.639999999999990e-002	2.005908e-002	7.598136e-001
2.649999999999990e-002	2.013501e-002	7.598117e-001
2.659999999999990e-002	2.021094e-002	7.598098e-001
2.669999999999989e-002	2.028687e-002	7.598079e-001
2.679999999999989e-002	2.036280e-002	7.598060e-001
2.689999999999989e-002	2.043873e-002	7.598041e-001
2.699999999999989e-002	2.051466e-002	7.598022e-001
2.709999999999989e-002	2.059059e-002	7.598003e-001
2.719999999999989e-002	2.066652e-002	7.597984e-001
2.729999999999989e-002	2.074244e-002	7.597965e-001
2.739999999999989e-002	2.081837e-002	7.597946e-001
2.749999999999989e-002	2.089430e-002	7.597927e-001
2.759999999999989e-002	2.097023e-002	7.597908e-001
2.769999999999989e-002	2.104615e-002	7.597889e-001
2.779999999999989e-002	2.112208e-002	7.597870e-001
2.789999999999989e-002	2.119800e-002	7.597851e-001
2.799999999999989e-002	2.127393e-002	7.597831e-001
2.809999999999989e-002	2.134985e-002	7.597812e-001
2.819999999999989e-002	2.142578e-002	7.597793e-001
2.829999999999988e-002	2.150170e-002	7.597774e-001
2.839999999999988e-002	2.157762e-002	7.597755e-001
2.849999999999988e-002	2.165355e-002	7.597736e-001
2.859999999999988e-002	2.172947e-002	7.597717e-001
2.869999999999988e-002	2.180539e-002	7.597698e-001
2.879999999999988e-002	2.188131e-002	7.597679e-001
2.889999999999988e-002	2.195724e-002	7.597660e-001
2.899999999999988e-002	2.203316e-002	7.597641e-001
2.909999999999988e-002	2.210908e-002	7.597622e-001
2.919999999999988e-002	2.218500e-002	7.597603e-001
2.929999999999988e-002	2.226092e-002	7.597584e-001
2.939999999999988e-002	2.233684e-002	7.597564e-001
2.949999999999988e-002	2.241276e-002	7.597545e-001
2.959999999999988e-002	2.248868e-002	7.597526e-001
